Cygwin Package Information
Package                             Version
_autorebase                         001002-1
_update-info-dir                    00413-1
adwaita-icon-theme                  3.14.1-1
adwaita-themes                      3.14.2.3-2
alternatives                        1.3.30c-10
appres                              1.0.4-1
at-spi2-atk                         2.14.1-1
at-spi2-core                        2.14.1-1
attr                                2.4.46-1
autoconf                            13-1
autoconf2.1                         2.13-12
autoconf2.5                         2.69-3
automake                            9-1
automake1.10                        1.10.3-2
automake1.11                        1.11.6-2
automake1.12                        1.12.6-2
automake1.13                        1.13.4-1
automake1.14                        1.14.1-2
automake1.4                         1.4p6-11
automake1.5                         1.5-11
automake1.6                         1.6.3-12
automake1.7                         1.7.9-11
automake1.8                         1.8.5-11
automake1.9                         1.9.6-11
aview                               1.3.0rc1-3
base-cygwin                         3.8-1
base-files                          4.2-3
bash                                4.3.33-1
bash-completion                     2.1-2
bc                                  1.06.95-2
beforelight                         1.0.5-1
bigreqsproto                        1.1.2-1
bind-utils                          9.9.7-1
binutils                            2.25-2
bison                               3.0.4-1
bitmap                              1.0.7-1
build-docbook-catalog               1.5-2
bzip2                               1.0.6-2
bzr                                 2.6b2-1
ca-certificates                     2.3-1
checkbashisms                       2.15.1-1
cloog-isl                           0.18.0-2
cloog-ppl                           0.15.11-2
cmake                               3.1.2-1
cocom                               0.996-2
colordiff                           1.0.9-1
colorgcc                            1.3.2-2
compositeproto                      0.4.2-1
coreutils                           8.23-4
crypt                               1.1-1
csih                                0.9.8-6
curl                                7.41.0-1
cvs                                 1.11.23-1
cvsutils                            0.2.6-1
cygcheck-dep                        2.0-1
cygport                             0.18.1-1
cygrunsrv                           1.62-1
cygutils                            1.4.14-1
cygutils-extra                      1.4.14-1
cygutils-x11                        1.4.14-1
cygwin                              1.7.35-1
cygwin-debuginfo                    1.7.35-1
cygwin-devel                        1.7.35-1
cygwin-x-doc                        1.1.20150303-1
cygwin32                            1.7.34-1
cygwin32-expat                      2.1.0-1
cygwin32-gettext                    0.18.1.1-1
cygwin32-jbigkit                    2.0-11
cygwin32-libffi                     3.0.13-1
cygwin32-libiconv                   1.14-1
cygwin32-libpng                     1.5.12-1
cygwin32-libtool                    2.4.2-2
cygwin32-zlib                       1.2.8-1
damageproto                         1.2.1-1
dash                                0.5.8-3
dbus                                1.8.16-1
dbus-x11                            1.8.16-1
dconf-service                       0.22.0-1
ddd                                 3.3.12-3
ddrescue                            1.17-1
desktop-file-utils                  0.21-1
dialog                              1.2-20150225-2
diffstat                            1.59-1
diffutils                           3.3-2
dmxproto                            2.3.1-1
docbook-dsssl                       1.79-2
docbook-sgml30                      3.0-1
docbook-sgml31                      3.1-1
docbook-sgml40                      4.0-1
docbook-sgml41                      4.1-1
docbook-sgml42                      4.2-1
docbook-sgml43                      4.3-1
docbook-sgml44                      4.4-1
docbook-sgml45                      4.5-1
docbook-utils                       0.6.14-2
docbook-xml412                      4.1.2-2
docbook-xml42                       4.2-4
docbook-xml43                       4.3-2
docbook-xml44                       4.4-2
docbook-xml45                       4.5-1
docbook-xsl                         1.77.1-1
docbook2X                           0.8.8-1
dos2unix                            7.2-1
doxygen                             1.8.9.1-1
